ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-12-31,288.2382962611666,277.6452835384502,283.3465065915382,288.2382962611666,288.2382962611666,-7.821848334513983,-7.821848334513983,-7.821848334513983,-0.14714591089238496,-0.14714591089238496,-0.14714591089238496,-7.674702423621597,-7.674702423621597,-7.674702423621597,0.0,0.0,0.0,280.41644792665267
2015-01-01,288.2598502992967,277.6390343051249,283.3340408846242,288.2598502992967,288.2598502992967,-7.725256804375585,-7.725256804375585,-7.725256804375585,-0.039775023715487474,-0.039775023715487474,-0.039775023715487474,-7.6854817806600995,-7.6854817806600995,-7.6854817806600995,0.0,0.0,0.0,280.5345934949211
2015-01-02,288.2814043374268,277.77626225295853,283.49079102882405,288.2814043374268,288.2814043374268,-7.614471694499426,-7.614471694499426,-7.614471694499426,0.07190578096090708,0.07190578096090708,0.07190578096090708,-7.686377475460334,-7.686377475460334,-7.686377475460334,0.0,0.0,0.0,280.6669326429274
2015-01-03,288.30295837555695,277.7445166299301,283.5843607613141,288.30295837555695,288.30295837555695,-7.586774771096822,-7.586774771096822,-7.586774771096822,0.09040240619862036,0.09040240619862036,0.09040240619862036,-7.677177177295441,-7.677177177295441,-7.677177177295441,0.0,0.0,0.0,280.7161836044601
2015-01-04,288.32451241368705,277.9820276541683,283.89877789318837,288.32451241368705,288.32451241368705,-7.531288806209289,-7.531288806209289,-7.531288806209289,0.1266140369230738,0.1266140369230738,0.1266140369230738,-7.657902843132364,-7.657902843132364,-7.657902843132364,0.0,0.0,0.0,280.7932236074778
2015-01-05,288.34606645181714,277.8256976841243,283.7127774812354,288.34606645181714,288.34606645181714,-7.599627478037887,-7.599627478037887,-7.599627478037887,0.029189738174083758,0.029189738174083758,0.029189738174083758,-7.628817216211972,-7.628817216211972,-7.628817216211972,0.0,0.0,0.0,280.7464389737793
2015-01-06,288.3676204899472,277.93429184019,283.69464606551696,288.3676204899472,288.3676204899472,-7.7216143796945245,-7.7216143796945245,-7.7216143796945245,-0.13119102764846763,-0.13119102764846763,-0.13119102764846763,-7.590423352046058,-7.590423352046058,-7.590423352046058,0.0,0.0,0.0,280.6460061102527
2015-01-07,288.3891745280774,277.77962470730336,283.61712992760647,288.3891745280774,288.3891745280774,-7.690602991954391,-7.690602991954391,-7.690602991954391,-0.1471459108925293,-0.1471459108925293,-0.1471459108925293,-7.543457081061861,-7.543457081061861,-7.543457081061861,0.0,0.0,0.0,280.698571536123
2015-01-08,288.41072856620747,277.99635199732586,283.85639315595165,288.41072856620747,288.41072856620747,-7.528647546770118,-7.528647546770118,-7.528647546770118,-0.03977502371539877,-0.03977502371539877,-0.03977502371539877,-7.48887252305472,-7.48887252305472,-7.48887252305472,0.0,0.0,0.0,280.88208101943735
2015-01-09,288.43228260433756,278.15045050141305,283.9149059023563,288.43228260433756,288.43228260433756,-7.355915192337632,-7.355915192337632,-7.355915192337632,0.07190578096094362,0.07190578096094362,0.07190578096094362,-7.427820973298576,-7.427820973298576,-7.427820973298576,0.0,0.0,0.0,281.0763674119999
